numX,Rsq,N,Lambda,Alpha,Type,Power
1,0.07,500,0.15,0.01,Theory,0.999813766
1,0.07,1000,0.15,0.01,Theory,0.999999999
1,0.13,50,0.15,0.01,Theory,0.562587285
1,0.13,100,0.15,0.01,Theory,0.901427341
1,0.13,150,0.15,0.01,Theory,0.984555179
1,0.13,250,0.15,0.01,Theory,0.999797
1,0.13,500,0.15,0.01,Theory,0.999999999
1,0.13,1000,0.15,0.01,Theory,1
1,0.26,50,0.15,0.01,Theory,0.94690298
1,0.26,100,0.15,0.01,Theory,0.999598358
1,0.26,150,0.15,0.01,Theory,0.999998592
1,0.26,250,0.15,0.01,Theory,1
1,0.26,500,0.15,0.01,Theory,1
1,0.26,1000,0.15,0.01,Theory,1
1,0.02,50,0.25,0.01,Theory,0.058880061
1,0.02,100,0.25,0.01,Theory,0.125668617
1,0.02,150,0.25,0.01,Theory,0.204354701
1,0.02,250,0.25,0.01,Theory,0.375599877
1,0.02,500,0.25,0.01,Theory,0.73189474
1,0.02,1000,0.25,0.01,Theory,0.973913904
1,0.07,50,0.25,0.01,Theory,0.262433629
1,0.07,100,0.25,0.01,Theory,0.566585291
1,0.07,150,0.25,0.01,Theory,0.783561564
1,0.07,250,0.25,0.01,Theory,0.960969648
1,0.07,500,0.25,0.01,Theory,0.999813766
1,0.07,1000,0.25,0.01,Theory,0.999999999
1,0.13,50,0.25,0.01,Theory,0.562587285
1,0.13,100,0.25,0.01,Theory,0.901427341
1,0.13,150,0.25,0.01,Theory,0.984555179
1,0.13,250,0.25,0.01,Theory,0.999797
1,0.13,500,0.25,0.01,Theory,0.999999999
1,0.13,1000,0.25,0.01,Theory,1
1,0.26,50,0.25,0.01,Theory,0.94690298
1,0.26,100,0.25,0.01,Theory,0.999598358
1,0.26,150,0.25,0.01,Theory,0.999998592
1,0.26,250,0.25,0.01,Theory,1
1,0.26,500,0.25,0.01,Theory,1
1,0.26,1000,0.25,0.01,Theory,1
1,0.02,50,0.15,0.01,MLR,0.056
1,0.02,100,0.15,0.01,MLR,0.115057529
1,0.02,150,0.15,0.01,MLR,0.161
1,0.02,250,0.15,0.01,MLR,0.3085
1,0.02,500,0.15,0.01,MLR,0.604802401
1,0.02,1000,0.15,0.01,MLR,0.925350701
1,0.07,50,0.15,0.01,MLR,0.236
1,0.07,100,0.15,0.01,MLR,0.43821911
1,0.07,150,0.15,0.01,MLR,0.666333167
1,0.07,250,0.15,0.01,MLR,0.9025
1,0.07,500,0.15,0.01,MLR,0.997498749
1,0.07,1000,0.15,0.01,MLR,1
1,0.13,50,0.15,0.01,MLR,0.439
1,0.13,100,0.15,0.01,MLR,0.793896948
1,0.13,150,0.15,0.01,MLR,0.9365
1,0.13,250,0.15,0.01,MLR,0.995
1,0.13,500,0.15,0.01,MLR,1
1,0.13,1000,0.15,0.01,MLR,1
1,0.26,50,0.15,0.01,MLR,0.8355
1,0.26,100,0.15,0.01,MLR,0.985
1,0.26,150,0.15,0.01,MLR,0.996498249
1,0.26,250,0.15,0.01,MLR,1
1,0.26,500,0.15,0.01,MLR,1
1,0.26,1000,0.15,0.01,MLR,1
1,0.02,50,0.25,0.01,MLR,0.064
1,0.02,100,0.25,0.01,MLR,0.128
1,0.02,150,0.25,0.01,MLR,0.175
