numX,Rsq,N,Alpha,Type,Power
2,0.26,50,0.1,Bayes,0.966
2,0.26,100,0.1,Bayes,0.9995
2,0.26,150,0.1,Bayes,1
2,0.26,250,0.1,Bayes,1
2,0.26,500,0.1,Bayes,1
2,0.26,1000,0.1,Bayes,1
2,0.02,50,0.05,Bayes,0.184
2,0.02,100,0.05,Bayes,0.331
2,0.02,150,0.05,Bayes,0.4305
2,0.02,250,0.05,Bayes,0.6455
2,0.02,500,0.05,Bayes,0.9
2,0.02,1000,0.05,Bayes,0.9925
2,0.07,50,0.05,Bayes,0.4845
2,0.07,100,0.05,Bayes,0.7515
2,0.07,150,0.05,Bayes,0.911
2,0.07,250,0.05,Bayes,0.9855
2,0.07,500,0.05,Bayes,1
2,0.07,1000,0.05,Bayes,1
2,0.13,50,0.05,Bayes,0.752
2,0.13,100,0.05,Bayes,0.967
2,0.13,150,0.05,Bayes,0.994
2,0.13,250,0.05,Bayes,1
2,0.13,500,0.05,Bayes,1
2,0.13,1000,0.05,Bayes,1
2,0.26,50,0.05,Bayes,0.966
2,0.26,100,0.05,Bayes,0.9995
2,0.26,150,0.05,Bayes,1
2,0.26,250,0.05,Bayes,1
2,0.26,500,0.05,Bayes,1
2,0.26,1000,0.05,Bayes,1
2,0.02,50,0.01,Bayes,0.036
2,0.02,100,0.01,Bayes,0.075
2,0.02,150,0.01,Bayes,0.1365
2,0.02,250,0.01,Bayes,0.2705
2,0.02,500,0.01,Bayes,0.624
2,0.02,1000,0.01,Bayes,0.95
2,0.07,50,0.01,Bayes,0.1745
2,0.07,100,0.01,Bayes,0.4
2,0.07,150,0.01,Bayes,0.682
2,0.07,250,0.01,Bayes,0.9015
2,0.07,500,0.01,Bayes,1
2,0.07,1000,0.01,Bayes,1
2,0.13,50,0.01,Bayes,0.4085
2,0.13,100,0.01,Bayes,0.8025
2,0.13,150,0.01,Bayes,0.9605
2,0.13,250,0.01,Bayes,0.9985
2,0.13,500,0.01,Bayes,1
2,0.13,1000,0.01,Bayes,1
2,0.26,50,0.01,Bayes,0.8405
2,0.26,100,0.01,Bayes,0.9965
2,0.26,150,0.01,Bayes,1
2,0.26,250,0.01,Bayes,1
2,0.26,500,0.01,Bayes,1
2,0.26,1000,0.01,Bayes,1
5,0.02,50,0.1,Theory,0.174272385
5,0.02,100,0.1,Theory,0.254997477
5,0.02,150,0.1,Theory,0.337927993
5,0.02,250,0.1,Theory,0.497572654
5,0.02,500,0.1,Theory,0.790382206
5,0.02,1000,0.1,Theory,0.978424122
5,0.07,50,0.1,Theory,0.39446277
5,0.07,100,0.1,Theory,0.658656522
5,0.07,150,0.1,Theory,0.830659454
5,0.07,250,0.1,Theory,0.968173492
5,0.07,500,0.1,Theory,0.999810793
5,0.07,1000,0.1,Theory,0.999999999
5,0.13,50,0.1,Theory,0.655399899
5,0.13,100,0.1,Theory,0.921824497
5,0.13,150,0.1,Theory,0.986971603
5,0.13,250,0.1,Theory,0.999794528
5,0.13,500,0.1,Theory,0.999999999
5,0.13,1000,0.1,Theory,1
5,0.26,50,0.1,Theory,0.957139629
5,0.26,100,0.1,Theory,0.999605302
5,0.26,150,0.1,Theory,0.999998237
5,0.26,250,0.1,Theory,1
5,0.26,500,0.1,Theory,1
5,0.26,1000,0.1,Theory,1
5,0.02,50,0.05,Theory,0.09969619
5,0.02,100,0.05,Theory,0.15954406
5,0.02,150,0.05,Theory,0.22649053
5,0.02,250,0.05,Theory,0.36990701
5,0.02,500,0.05,Theory,0.68775452
5,0.02,1000,0.05,Theory,0.95641967
5,0.07,50,0.05,Theory,0.27510681
5,0.07,100,0.05,Theory,0.53477375
5,0.07,150,0.05,Theory,0.73877016
5,0.07,250,0.05,Theory,0.93849058
5,0.07,500,0.05,Theory,0.9994186
5,0.07,1000,0.05,Theory,0.99999999
5,0.13,50,0.05,Theory,0.53121898
5,0.13,100,0.05,Theory,0.86498037
5,0.13,150,0.05,Theory,0.9722214
5,0.13,250,0.05,Theory,0.99937245
5,0.13,500,0.05,Theory,0.99999999
5,0.13,1000,0.05,Theory,1
5,0.26,50,0.05,Theory,0.92005276
5,0.26,100,0.05,Theory,0.99885253
5,0.26,150,0.05,Theory,0.99999264
5,0.26,250,0.05,Theory,1
5,0.26,500,0.05,Theory,1
5,0.26,1000,0.05,Theory,1
5,0.02,50,0.01,Theory,0.026591288
5,0.02,100,0.01,Theory,0.05126646
5,0.02,150,0.01,Theory,0.084016661
5,0.02,250,0.01,Theory,0.171008522
5,0.02,500,0.01,Theory,0.453696636
5,0.02,1000,0.01,Theory,0.867616831
5,0.07,50,0.01,Theory,0.110964935
5,0.07,100,0.01,Theory,0.300237319
5,0.07,150,0.01,Theory,0.514110331
5,0.07,250,0.01,Theory,0.827855461
5,0.07,500,0.01,Theory,0.996095187
5,0.07,1000,0.01,Theory,0.999999855
5,0.13,50,0.01,Theory,0.297089639
5,0.13,100,0.01,Theory,0.692563454
5,0.13,150,0.01,Theory,0.906647795
5,0.13,250,0.01,Theory,0.995833976
5,0.13,500,0.01,Theory,0.999999828
5,0.13,1000,0.01,Theory,1
5,0.26,50,0.01,Theory,0.790440669
5,0.26,100,0.01,Theory,0.993066396
5,0.26,150,0.01,Theory,0.999911211
5,0.26,250,0.01,Theory,0.999999997
5,0.26,500,0.01,Theory,1
5,0.26,1000,0.01,Theory,1
5,0.02,50,0.1,ML,0.2535
5,0.02,100,0.1,ML,0.301
5,0.02,150,0.1,ML,0.367
5,0.02,250,0.1,ML,0.5215
5,0.02,500,0.1,ML,0.791
5,0.02,1000,0.1,ML,0.9815
5,0.07,50,0.1,ML,0.4895
5,0.07,100,0.1,ML,0.6625
5,0.07,150,0.1,ML,0.832
5,0.07,250,0.1,ML,0.968
5,0.07,500,0.1,ML,1
5,0.07,1000,0.1,ML,1
5,0.13,50,0.1,ML,0.7215
5,0.13,100,0.1,ML,0.931
5,0.13,150,0.1,ML,0.9855
5,0.13,250,0.1,ML,1
5,0.13,500,0.1,ML,1
5,0.13,1000,0.1,ML,1
5,0.26,50,0.1,ML,0.964
5,0.26,100,0.1,ML,0.999
5,0.26,150,0.1,ML,1
5,0.26,250,0.1,ML,1
5,0.26,500,0.1,ML,1
5,0.26,1000,0.1,ML,1
5,0.02,50,0.05,ML,0.16
5,0.02,100,0.05,ML,0.2
5,0.02,150,0.05,ML,0.2535
5,0.02,250,0.05,ML,0.3955
5,0.02,500,0.05,ML,0.703
5,0.02,1000,0.05,ML,0.9605
5,0.07,50,0.05,ML,0.382
5,0.07,100,0.05,ML,0.561
5,0.07,150,0.05,ML,0.7465
5,0.07,250,0.05,ML,0.9375
5,0.07,500,0.05,ML,0.9995
5,0.07,1000,0.05,ML,1
5,0.13,50,0.05,ML,0.6215
5,0.13,100,0.05,ML,0.879
5,0.13,150,0.05,ML,0.969
5,0.13,250,0.05,ML,0.9995
